Sample_label	PANGAEA	[TARA_station#]	Latitude	Longitude	Sampling_depth	EnvironmentalFeature	Size_Fraction_lower	Size_fraction_upper 	Marine_pelagic_biomes_Longhurst_2007	Ocean_sea_regions	Marine_pelagic_biomes
TARA_030_SRF_0.22-1.6	TARA_A100001015	TARA_030	33.9179	32.898	5	(SRF)	0.22	1.6	Westerlies	(MS)	(MEDI)
TARA_031_SRF_0.22-1.6	TARA_A100001388	TARA_031	27.16	34.835	5	(SRF)	0.22	1.6	Coastal	(RS)	(REDS)
TARA_031_SRF_<-0.22	TARA_A100001391	TARA_031	27.16	34.835	5	(SRF)	<	0.22	Coastal	(RS)	(REDS)
TARA_032_DCM_0.22-1.6	TARA_A100001037	TARA_032	23.4183	37.245	80	(DCM)	0.22	1.6	Coastal	(RS)	(REDS)
TARA_032_DCM_<-0.22	TARA_A100001518	TARA_032	23.4183	37.245	80	(DCM)	<	0.22	Coastal	(RS)	(REDS)
TARA_032_SRF_0.22-1.6	TARA_A100001035	TARA_032	23.36	37.2183	5	(SRF)	0.22	1.6	Coastal	(RS)	(REDS)
TARA_032_SRF_<-0.22	TARA_A100001515	TARA_032	23.36	37.2183	5	(SRF)	<	0.22	Coastal	(RS)	(REDS)
TARA_033_SRF_0.22-1.6	TARA_A100001234	TARA_033	21.9467	38.2517	5	(SRF)	0.22	1.6	Coastal	(RS)	(REDS)
TARA_034_DCM_0.22-1.6	TARA_B100000029	TARA_034	18.4417	39.8567	60	(DCM)	0.22	1.6	Coastal	(RS)	(REDS)
TARA_034_DCM_<-0.22	TARA_R100000008	TARA_034	18.4417	39.8567	60	(DCM)	<	0.22	Coastal	(RS)	(REDS)
TARA_034_SRF_0.1-0.22	TARA_Y100000004	TARA_034	18.3967	39.875	5	(SRF)	0.1	0.22	Coastal	(RS)	(REDS)
TARA_034_SRF_0.22-1.6	TARA_B100000003	TARA_034	18.3967	39.875	5	(SRF)	0.22	1.6	Coastal	(RS)	(REDS)
TARA_034_SRF_<-0.22	TARA_R100000005	TARA_034	18.3967	39.875	5	(SRF)	<	0.22	Coastal	(RS)	(REDS)
TARA_036_DCM_0.22-1.6	TARA_B100000035	TARA_036	20.8222	63.5133	17	(DCM)	0.22	1.6	Coastal	(IO)	(ARAB)
TARA_036_DCM_<-0.22	TARA_R100000030	TARA_036	20.8222	63.5133	17	(DCM)	<	0.22	Coastal	(IO)	(ARAB)
TARA_036_SRF_0.1-0.22	TARA_Y100000015	TARA_036	20.8183	63.5047	5	(SRF)	0.1	0.22	Coastal	(IO)	(ARAB)
TARA_036_SRF_0.22-1.6	TARA_Y100000022	TARA_036	20.8183	63.5047	5	(SRF)	0.22	1.6	Coastal	(IO)	(ARAB)
TARA_036_SRF_<-0.22	TARA_R100000027	TARA_036	20.8183	63.5047	5	(SRF)	<	0.22	Coastal	(IO)	(ARAB)
TARA_037_MES_0.1-0.22	TARA_Y100000310	TARA_037	20.8457	63.5851	600	(MES)	0.1	0.22	Coastal	(IO)	(ARAB)
TARA_037_MES_0.22-1.6	TARA_B100000315	TARA_037	20.8457	63.5851	600	(MES)	0.22	1.6	Coastal	(IO)	(ARAB)
TARA_038_DCM_0.22-1.6	TARA_B100000073	TARA_038	19.0284	64.5126	25	(DCM)	0.22	1.6	Trades	(IO)	(MONS)
TARA_038_DCM_<-0.22	TARA_R100000084	TARA_038	19.0284	64.5126	25	(DCM)	<	0.22	Trades	(IO)	(MONS)
TARA_038_MES_0.1-0.22	TARA_Y100000296	TARA_038	19.0351	64.5638	340	(MES)	0.1	0.22	Trades	(IO)	(MONS)
TARA_038_MES_0.22-1.6	TARA_Y100000294	TARA_038	19.0351	64.5638	340	(MES)	0.22	1.6	Trades	(IO)	(MONS)
TARA_038_SRF_0.1-0.22	TARA_Y100000289	TARA_038	19.0393	64.4913	5	(SRF)	0.1	0.22	Trades	(IO)	(MONS)
TARA_038_SRF_0.22-1.6	TARA_Y100000287	TARA_038	19.0393	64.4913	5	(SRF)	0.22	1.6	Trades	(IO)	(MONS)
TARA_038_SRF_<-0.22	TARA_R100000081	TARA_038	19.0393	64.4913	5	(SRF)	<	0.22	Trades	(IO)	(MONS)
TARA_039_DCM_0.22-1.6	TARA_B100000085	TARA_039	18.5839	66.4727	25	(DCM)	0.22	1.6	Trades	(IO)	(MONS)
TARA_039_DCM_<-0.22	TARA_R100000482	TARA_039	18.5839	66.4727	25	(DCM)	<	0.22	Trades	(IO)	(MONS)
TARA_039_MES_0.1-0.22	TARA_Y100000034	TARA_039	18.7341	66.3896	270	(MES)	0.1	0.22	Trades	(IO)	(MONS)
TARA_039_MES_0.22-1.6	TARA_Y100000031	TARA_039	18.7341	66.3896	270	(MES)	0.22	1.6	Trades	(IO)	(MONS)
TARA_039_SRF_0.1-0.22	TARA_Y100000033	TARA_039	18.5918	66.622	5	(SRF)	0.1	0.22	Trades	(IO)	(MONS)
TARA_039_SRF_<-0.22	TARA_R100000479	TARA_039	18.5918	66.622	5	(SRF)	<	0.22	Trades	(IO)	(MONS)
TARA_041_DCM_0.22-1.6	TARA_B100000287	TARA_041	14.5536	70.0128	60	(DCM)	0.22	1.6	Trades	(IO)	(MONS)
TARA_041_DCM_<-0.22	TARA_R100000458	TARA_041	14.5536	70.0128	60	(DCM)	<	0.22	Trades	(IO)	(MONS)
TARA_041_SRF_0.1-0.22	TARA_Y100000052	TARA_041	14.6059	69.9776	5	(SRF)	0.1	0.22	Trades	(IO)	(MONS)
TARA_041_SRF_0.22-1.6	TARA_B100000282	TARA_041	14.6059	69.9776	5	(SRF)	0.22	1.6	Trades	(IO)	(MONS)
TARA_041_SRF_<-0.22	TARA_R100000455	TARA_041	14.6059	69.9776	5	(SRF)	<	0.22	Trades	(IO)	(MONS)
TARA_042_DCM_0.22-1.6	TARA_B100000131	TARA_042	5.9998	73.9067	80	(DCM)	0.22	1.6	Trades	(IO)	(MONS)
TARA_042_DCM_<-0.22	TARA_R100000152	TARA_042	5.9998	73.9067	80	(DCM)	<	0.22	Trades	(IO)	(MONS)
TARA_042_SRF_0.22-1.6	TARA_B100000123	TARA_042	6.0001	73.8955	5	(SRF)	0.22	1.6	Trades	(IO)	(MONS)
TARA_042_SRF_<-0.22	TARA_R100000149	TARA_042	6.0001	73.8955	5	(SRF)	<	0.22	Trades	(IO)	(MONS)
TARA_045_SRF_0.22-1.6	TARA_B100000161	TARA_045	0.0033	71.6428	5	(SRF)	0.22	1.6	Trades	(IO)	(MONS)
TARA_046_SRF_<-0.22	TARA_R100000406	TARA_046	-0.6625	73.161	5	(SRF)	<	0.22	Trades	(IO)	(MONS)
TARA_048_SRF_0.1-0.22	TARA_Y100000114	TARA_048	-9.3921	66.4228	5	(SRF)	0.1	0.22	Trades	(IO)	(ISSG)
TARA_048_SRF_0.22-1.6	TARA_B100000242	TARA_048	-9.3921	66.4228	5	(SRF)	0.22	1.6	Trades	(IO)	(ISSG)
TARA_052_DCM_0.22-1.6	TARA_B100000214	TARA_052	-16.9534	53.9601	75	(DCM)	0.22	1.6	Trades	(IO)	(ISSG)
TARA_052_DCM_<-0.22	TARA_R100000234	TARA_052	-16.9534	53.9601	75	(DCM)	<	0.22	Trades	(IO)	(ISSG)
TARA_052_SRF_0.22-1.6	TARA_B100000212	TARA_052	-16.957	53.9801	5	(SRF)	0.22	1.6	Trades	(IO)	(ISSG)
TARA_056_MES_0.22-3	TARA_B100000378	TARA_056	-15.3379	43.2948	1000	(MES)	0.22	3	Coastal	(IO)	(EAFR)
TARA_056_SRF_0.22-3	TARA_B000000609	TARA_056	-15.3424	43.2965	5	(SRF)	0.22	3	Coastal	(IO)	(EAFR)
TARA_057_SRF_0.22-3	TARA_B000000565	TARA_057	-17.0248	42.7401	5	(SRF)	0.22	3	Coastal	(IO)	(EAFR)
TARA_058_DCM_0.22-3	TARA_B000000557	TARA_058	-17.2855	42.2866	66	(DCM)	0.22	3	Coastal	(IO)	(EAFR)
TARA_062_SRF_0.22-3	TARA_B000000532	TARA_062	-22.3368	40.3412	5	(SRF)	0.22	3	Coastal	(IO)	(EAFR)
TARA_064_DCM_0.1-0.22	TARA_Y100000401	TARA_064	-29.5333	37.9117	65	(DCM)	0.1	0.22	Coastal	(IO)	(EAFR)
TARA_064_DCM_0.22-3	TARA_B100000405	TARA_064	-29.5333	37.9117	65	(DCM)	0.22	3	Coastal	(IO)	(EAFR)
TARA_064_DCM_<-0.22	TARA_R100000315	TARA_064	-29.5333	37.9117	65	(DCM)	<	0.22	Coastal	(IO)	(EAFR)
TARA_064_MES_0.22-3	TARA_B100000408	TARA_064	-29.5046	37.9599	1000	(MES)	0.22	3	Coastal	(IO)	(EAFR)
TARA_064_SRF_0.22-3	TARA_B100000401	TARA_064	-29.5019	37.9889	5	(SRF)	0.22	3	Coastal	(IO)	(EAFR)
TARA_064_SRF_<-0.22	TARA_R100000322	TARA_064	-29.5019	37.9889	5	(SRF)	<	0.22	Coastal	(IO)	(EAFR)
TARA_065_DCM_0.1-0.22	TARA_Y100000361	TARA_065	-35.2421	26.3048	30	(DCM)	0.1	0.22	Coastal	(IO)	(EAFR)
TARA_065_DCM_0.22-3	TARA_B000000441	TARA_065	-35.2421	26.3048	30	(DCM)	0.22	3	Coastal	(IO)	(EAFR)
TARA_065_DCM_<-0.22	TARA_R100001198	TARA_065	-35.2421	26.3048	30	(DCM)	<	0.22	Coastal	(IO)	(EAFR)
TARA_065_MES_0.22-3	TARA_B000000460	TARA_065	-35.1889	26.2905	850	(MES)	0.22	3	Coastal	(IO)	(EAFR)
TARA_065_SRF_0.1-0.22	TARA_Y100000356	TARA_065	-35.1728	26.2868	5	(SRF)	0.1	0.22	Coastal	(IO)	(EAFR)
TARA_065_SRF_0.22-3	TARA_B000000437	TARA_065	-35.1728	26.2868	5	(SRF)	0.22	3	Coastal	(IO)	(EAFR)
TARA_065_SRF_<-0.22	TARA_R100001230	TARA_065	-35.1728	26.2868	5	(SRF)	<	0.22	Coastal	(IO)	(EAFR)
TARA_066_DCM_0.22-3	TARA_B000000477	TARA_066	-34.8901	18.0459	30	(DCM)	0.22	3	Coastal	(SAO)	(BENG)
TARA_066_DCM_<-0.22	TARA_R100000908	TARA_066	-34.8901	18.0459	30	(DCM)	<	0.22	Coastal	(SAO)	(BENG)
TARA_066_SRF_0.22-3	TARA_B000000475	TARA_066	-34.9449	17.9189	5	(SRF)	0.22	3	Coastal	(SAO)	(BENG)
TARA_066_SRF_<-0.22	TARA_R100000900	TARA_066	-34.9449	17.9189	5	(SRF)	<	0.22	Coastal	(SAO)	(BENG)
TARA_067_SRF_0.22-3	TARA_B100000497	TARA_067	-32.2401	17.7103	5	(SRF)	0.22	3	Coastal	(SAO)	(BENG)
TARA_067_SRF_0.22-0.45	TARA_Y100000389	TARA_067	-32.2401	17.7103	5	(SRF)	0.22	0.45	Coastal	(SAO)	(BENG)
TARA_067_SRF_0.45-0.8	TARA_Y100000385	TARA_067	-32.2401	17.7103	5	(SRF)	0.45	0.8	Coastal	(SAO)	(BENG)
TARA_067_SRF_<-0.22	TARA_R100000951	TARA_067	-32.2401	17.7103	5	(SRF)	<	0.22	Coastal	(SAO)	(BENG)
TARA_068_DCM_0.22-3	TARA_B100000482	TARA_068	-31.027	4.6802	50	(DCM)	0.22	3	Trades	(SAO)	(SATL)
TARA_068_DCM_0.22-0.45	TARA_Y100000748	TARA_068	-31.027	4.6802	50	(DCM)	0.22	0.45	Trades	(SAO)	(SATL)
TARA_068_DCM_0.45-0.8	TARA_Y100000746	TARA_068	-31.027	4.6802	50	(DCM)	0.45	0.8	Trades	(SAO)	(SATL)
TARA_068_DCM_<-0.22	TARA_R100000995	TARA_068	-31.027	4.6802	50	(DCM)	<	0.22	Trades	(SAO)	(SATL)
TARA_068_MES_0.22-3	TARA_B100000470	TARA_068	-31.0198	4.6685	700	(MES)	0.22	3	Trades	(SAO)	(SATL)
TARA_068_MES_0.45-0.8	TARA_Y100000758	TARA_068	-31.0198	4.6685	700	(MES)	0.45	0.8	Trades	(SAO)	(SATL)
TARA_068_SRF_0.22-3	TARA_B100000475	TARA_068	-31.0266	4.665	5	(SRF)	0.22	3	Trades	(SAO)	(SATL)
TARA_068_SRF_0.22-0.45	TARA_Y100000741	TARA_068	-31.0266	4.665	5	(SRF)	0.22	0.45	Trades	(SAO)	(SATL)
TARA_068_SRF_0.45-0.8	TARA_Y100000739	TARA_068	-31.0266	4.665	5	(SRF)	0.45	0.8	Trades	(SAO)	(SATL)
TARA_068_SRF_<-0.22	TARA_R100000988	TARA_068	-31.0266	4.665	5	(SRF)	<	0.22	Trades	(SAO)	(SATL)
TARA_070_MES_0.22-3	TARA_B100000446	TARA_070	-20.4075	-3.1641	800	(MES)	0.22	3	Trades	(SAO)	(SATL)
TARA_070_MES_0.22-0.45	TARA_Y100000782	TARA_070	-20.4075	-3.1641	800	(MES)	0.22	0.45	Trades	(SAO)	(SATL)
TARA_070_MES_0.45-0.8	TARA_Y100000780	TARA_070	-20.4075	-3.1641	800	(MES)	0.45	0.8	Trades	(SAO)	(SATL)
TARA_070_MES_<-0.22	TARA_R100001039	TARA_070	-20.4075	-3.1641	800	(MES)	<	0.22	Trades	(SAO)	(SATL)
TARA_070_SRF_0.22-3	TARA_B100000459	TARA_070	-20.4091	-3.1759	5	(SRF)	0.22	3	Trades	(SAO)	(SATL)
TARA_070_SRF_0.22-0.45	TARA_Y100000768	TARA_070	-20.4091	-3.1759	5	(SRF)	0.22	0.45	Trades	(SAO)	(SATL)
TARA_070_SRF_0.45-0.8	TARA_Y100000766	TARA_070	-20.4091	-3.1759	5	(SRF)	0.45	0.8	Trades	(SAO)	(SATL)
TARA_070_SRF_<-0.22	TARA_R100001015	TARA_070	-20.4091	-3.1759	5	(SRF)	<	0.22	Trades	(SAO)	(SATL)
TARA_072_DCM_0.22-3	TARA_B100000427	TARA_072	-8.7296	-17.9604	100	(DCM)	0.22	3	Trades	(SAO)	(SATL)
TARA_072_DCM_<-0.22	TARA_R100001082	TARA_072	-8.7296	-17.9604	100	(DCM)	<	0.22	Trades	(SAO)	(SATL)
TARA_072_MES_0.22-3	TARA_B100000508	TARA_072	-8.7986	-17.9034	800	(MES)	0.22	3	Trades	(SAO)	(SATL)
TARA_072_MES_<-0.22	TARA_R100001086	TARA_072	-8.7986	-17.9034	800	(MES)	<	0.22	Trades	(SAO)	(SATL)
TARA_072_SRF_0.22-3	TARA_B100000424	TARA_072	-8.7789	-17.9099	5	(SRF)	0.22	3	Trades	(SAO)	(SATL)
TARA_072_SRF_<-0.22	TARA_R100001079	TARA_072	-8.7789	-17.9099	5	(SRF)	<	0.22	Trades	(SAO)	(SATL)
TARA_076_DCM_0.22-3	TARA_B100000519	TARA_076	-21.0292	-35.3498	150	(DCM)	0.22	3	Trades	(SAO)	(SATL)
TARA_076_DCM_0.22-0.45	TARA_Y100000817	TARA_076	-21.0292	-35.3498	150	(DCM)	0.22	0.45	Trades	(SAO)	(SATL)
TARA_076_DCM_0.45-0.8	TARA_Y100000814	TARA_076	-21.0292	-35.3498	150	(DCM)	0.45	0.8	Trades	(SAO)	(SATL)
TARA_076_DCM_<-0.22	TARA_R100001129	TARA_076	-21.0292	-35.3498	150	(DCM)	<	0.22	Trades	(SAO)	(SATL)
